-    47       10  -    14  
-    43       02  -   758  
-    39  -    05  - 1,503  
-    35  -    13  - 2,248  
-    31  -    20  - 2,993  
-    27  -    27  - 3,740  
-    24  -    35  - 4,485  
-    20  -    43  - 5,228  
-    16  -    50  - 5,972  
-    12  -    57  - 6,715  
-    08  -    64  - 7,459  
-    04  -    72  - 8,201  
     00  -    79  - 8,942  
     04  -    87  - 9,684  
     08  -    94  -10,423  
     12  -   102  -11,163  
     16  -   109  -11,901  
     20  -   118  -12,637  
     24  -   126  -13,373  
     28  -   133  -14,106  
     31  -   137  -14,615  
-    49       10  -    13  
-    53       19      732  
-    55       25    1,478  
-    59       32    2,223  
-    63       41    2,968  
-    67       47    3,713  
-    71       56    4,456  
-    75       64    5,201  
-    79       71    5,945  
-    83       78    6,688  
-    87       86    7,432  
-    91       93    8,174  
-    95      101    8,914  
-   100      109    9,657  
-   104      116   10,397  
-   108      124   11,135  
-   112      131   11,872  
-   116      139   12,611  
-   120      146   13,346  
-   124      153   14,079  
-   126      158   14,588  
