
0101	 10.00 -32.00  88.00  1.0000  0.0000 -0.5000 
0101	 10.00 -32.00  88.00  1.0000  0.0000 -0.5000 
0102	 10.00 -32.00  88.00  1.0000  0.0000 -0.5000 
0002	 10.00 -32.00  88.00  1.0000  0.0000 -0.5000 
0002	 10.00 -32.00  88.00  1.0000  0.0000 -0.5000 
1211	 10.00 -32.00  88.00  1.0000  0.0000 -0.5000 
1212	 10.00  180.00  18.00  0.1000  0.0000 -0.0000 
9051	 180.00  10.00  10.00  0.1000  0.1000  0.1000 
9051	 180.00  10.00  10.00  0.1000  0.1000  0.1000 
9052	 10.00  10.00  10.00  0.1000  0.1000  0.1000 
9051	 20.00  30.00  5.00  5.0000  5.0000  5.0000 
9052	 20.00  30.00  5.00  5.0000  5.0000  5.0000 
9051	 180.00  40.00  90.00  2.0000  1.0000 -2.0000 
9052	 180.00  40.00  90.00  2.0000  1.0000 -2.0000 
9053	 180.00  40.00  90.00  2.0000  1.0000 -2.0000 
5001	 179.00  120.71  70.00  0.0012  0.0012  0.0012 
5001	 179.00  10.00  20.00  0.0000  0.0000  0.0000 
5002	 17.29  140.71  76.89  0.0000  0.0000  0.0000 
5003	 20.00  140.00  80.00  5.0000 -5.0000  5.0000 
5004	 20.00  140.00  80.00  5.0000 -5.0000  5.0000 
5005	 20.00  140.00  80.00  5.0000 -5.0000  5.0000 
5006	 20.00  140.00  80.00  5.0000 -5.0000  5.0000 
5007	 20.00  140.00  80.00  5.0000 -5.0000  5.0000 
5008	 20.00  140.00  80.00  5.0000 -5.0000  5.0000 
5008	 20.00  140.00  80.00  10.0000 -10.0000  10.0000 
5009	 20.00  140.00  80.00  10.0000 -10.0000  10.0000 
5008	 20.00  140.00  80.00  5.0000 -5.0000  5.0000 
5010	 20.00  140.00  80.00  12.0000  12.0000  12.0000 
5011	 70.00  140.00  50.00  5.0000 -5.0000  5.0000 
5011	 70.00  140.00  50.00  5.0000 -5.0000  5.0000 
5012	 70.00  140.00  50.00  5.0000 -5.0000  5.0000 
5012	 70.00  140.00  50.00  12.0000 -12.0000  12.0000 
5050	 70.00  140.00  50.00  12.0000 -12.0000  12.0000 
