-    85  -    49  -    04  
-    84  -    45  -   743  
-    84  -    41  - 1,483  
-    83  -    37  - 2,224  
-    81  -    34  - 2,963  
-    80  -    30  - 3,703  
-    80  -    26  - 4,443  
-    79  -    22  - 5,182  
-    79  -    20  - 5,921  
-    77  -    16  - 6,660  
-    77  -    12  - 7,398  
-    76  -    09  - 8,136  
-    76  -    05  - 8,874  
-    75  -    02  - 9,609  
-    73       02  -10,344  
-    73       06  -11,079  
-    72       09  -11,812  
-    71       13  -12,543  
-    71       16  -13,274  
-    69       20  -14,003  
-    69       23  -14,509  
-    85  -    49  -    04  
-    86  -    51      737  
-    86  -    55    1,478  
-    88  -    59    2,217  
-    89  -    62    2,956  
-    89  -    67    3,698  
-    90  -    70    4,438  
-    90  -    74    5,176  
-    92  -    78    5,916  
-    92  -    82    6,655  
-    93  -    84    7,393  
-    94  -    88    8,131  
-    94  -    91    8,867  
-    96  -    95    9,604  
-    97  -    99   10,340  
-    98  -   103   11,074  
-    98  -   106   11,807  
-    98  -   109   12,539  
-   100  -   112   13,270  
-   100  -   116   13,999  
-   101  -   118   14,506  
